driverId,week,hours-logged,miles-logged
199,52,69,1900
327,10,75,3400
245,8,63,1300
221,21,51,1800
90,5,58,2300
43,31,79,1400
980,23,64,600
341,3,63,1700
937,44,61,2300
56,5,65,2100
645,16,56,2900
904,22,52,2000
221,30,60,1200
371,27,72,2300
911,28,62,1100
727,37,75,2000
963,16,55,2300
53,29,56,2300
864,14,67,2200
517,41,66,800
314,27,51,2900
798,16,73,300
259,6,72,1900
521,49,56,2500
655,36,75,1400
205,22,79,2900
273,23,62,2800
364,35,66,1800
14,5,73,2100
188,35,64,3100
418,14,73,300
478,16,52,1600
805,23,61,700
480,46,50,1700
1006,34,61,2900
665,32,66,3800
198,39,79,3000
955,37,51,1000
399,9,51,3000
218,14,73,800
785,4,55,2100
130,11,50,0
105,33,51,3600
289,36,51,2300
532,22,71,2500
125,31,63,1600
376,13,77,2000
615,32,53,2700
347,34,57,1700
792,20,79,800
777,15,72,1300
747,23,60,3400
516,21,78,2400
274,42,51,2200
401,37,73,2100
367,23,73,4000
263,20,50,1100
119,9,50,200
265,14,79,3600
889,8,75,1900
616,42,70,1400
214,4,65,1500
175,29,77,3700
930,48,60,2900
308,19,60,1400
330,44,63,3800
103,48,77,3300
400,8,65,700
139,10,59,400
538,47,62,500
637,26,53,800
759,8,69,1200
720,1,77,2000
289,16,72,2000
109,29,55,2900
475,50,71,1400
116,6,54,1400
60,26,56,2200
191,33,79,1900
960,43,77,2700
699,5,68,3900
856,9,52,2400
558,39,52,100
237,1,79,3700
592,12,79,2900
39,29,79,2400
847,6,51,400
469,48,75,1600
130,9,51,2200
205,24,59,2700
206,38,76,200
500,3,63,700
922,30,60,2300
841,10,62,2400
252,18,80,3600
40,1,65,1000
867,19,73,600
600,48,76,1100
170,29,55,1800
750,28,55,2400
449,43,67,3900
459,48,57,700
816,6,53,1700
116,2,70,1100
696,4,58,2800
1009,29,65,3100
413,36,75,800
736,37,54,2500
53,38,58,1800
886,47,68,3700
824,24,63,1800
140,24,51,3000
663,8,77,1900
506,41,67,3900
152,51,60,2500
445,8,51,3400
96,19,51,2200
996,2,67,300
508,47,78,500
238,44,65,1800
800,27,73,2500
314,36,56,1600
433,23,56,500
944,15,71,2900
72,27,80,300
725,8,79,1000
952,14,69,2100
74,18,51,1800
528,11,58,1100
710,17,56,2100
269,50,67,1700
675,47,60,2600
567,41,57,900
483,11,50,900
406,32,55,3500
634,36,79,2500
304,18,55,2200
353,39,65,500
719,30,66,2100
342,6,60,900
388,43,64,2700
234,22,57,3800
774,25,63,600
345,24,52,2900
362,2,71,2100
199,23,76,2600
140,31,70,1000
772,4,68,2300
755,27,66,1100
769,8,69,2000
19,7,73,900
137,12,79,3500
942,5,52,1600
455,28,52,300
833,3,73,3300
526,29,64,1100
662,49,63,1500
479,19,57,1300
596,47,70,3800
697,34,60,2100
622,48,61,1300
60,45,68,2800
567,38,74,200
690,10,66,2100
